"pkg","installed","version"
"copykat",FALSE,NA
"CaSpER",FALSE,NA
"liana",FALSE,NA
"nichenetr",FALSE,NA
"Seurat",TRUE,"4.0.2"
"SeuratObject",TRUE,"4.0.4"
"parallelDist",TRUE,"0.2.6"
"dlm",TRUE,"1.1-5"
"mixtools",TRUE,"1.2.0"
"MCMCpack",TRUE,"1.6-3"
"transport",FALSE,NA
"httr2",FALSE,NA
"later",TRUE,"1.4.8"
"logger",TRUE,"0.4.2"
"fdrtool",TRUE,"1.2.17"
"ROCR",TRUE,"1.0-12"
"randomForest",FALSE,NA
"DiagrammeR",FALSE,NA
"mlrMBO",TRUE,"1.1.5"
"parallelMap",TRUE,"1.5.1"
"emoa",TRUE,"0.5-0.1"
"DiceKriging",TRUE,"1.6.0"
"ggnewscale",FALSE,NA
"fitdistrplus",TRUE,"1.2-6"
"ggridges",FALSE,NA
"ica",TRUE,"1.0-3"
"leiden",FALSE,NA
"miniUI",FALSE,NA
"plotly",FALSE,NA
"RANN",TRUE,"2.6.2"
"RcppAnnoy",TRUE,"0.0.23"
"scattermore",TRUE,"1.2"
"sctransform",TRUE,"0.3.3"
"shiny",FALSE,NA
"spatstat.core",FALSE,NA
"spatstat.geom",TRUE,"2.4-0"
"uwot",TRUE,"0.1.11"
"RcppProgress",TRUE,"0.4.2"
"signal",FALSE,NA
"pheatmap",TRUE,"1.0.13"
"reshape",TRUE,"0.8.10"
"mclust",FALSE,NA
"intergraph",TRUE,"2.0-4"
"ape",TRUE,"5.8-1"
"GOstats",TRUE,"2.56.0"
