global_cluster,n_cells,n_confident_cells,dominant_family,dominant_family_fraction,second_family,second_family_fraction,refined_broad_family,cluster_assignment_status
"1",3185,3143,"Myeloid",0.988545975182946,"Epithelial",0.0089086859688196,"Myeloid","ASSIGNED_80PCT_CONSISTENT"
"10",843,750,"Fibroblast",0.902666666666667,"Epithelial",0.092,"Fibroblast","ASSIGNED_80PCT_CONSISTENT"
"4",2022,1985,"T_NK",0.992443324937028,"Epithelial",0.00705289672544081,"T_NK","ASSIGNED_80PCT_CONSISTENT"
"13",621,555,"Endothelial",0.873873873873874,"T_NK",0.0882882882882883,"Endothelial","ASSIGNED_80PCT_CONSISTENT"
"29",126,79,"Myeloid",0.924050632911392,"T_NK",0.0759493670886076,"Myeloid","ASSIGNED_80PCT_CONSISTENT"
"8",1510,1510,"Epithelial",1,NA,0,"Epithelial","ASSIGNED_80PCT_CONSISTENT"
"24",249,157,"T_NK",0.942675159235669,"Epithelial",0.0318471337579618,"T_NK","ASSIGNED_80PCT_CONSISTENT"
"15",438,436,"T_NK",0.997706422018349,"Epithelial",0.00229357798165138,"T_NK","ASSIGNED_80PCT_CONSISTENT"
"11",698,674,"T_NK",0.974777448071217,"Epithelial",0.0252225519287834,"T_NK","ASSIGNED_80PCT_CONSISTENT"
"14",572,521,"Fibroblast",0.63147792706334,"Pericyte",0.322456813819578,"Unresolved_review","UNRESOLVED_CLUSTER_REVIEW"
"22",276,264,"B_Plasma",0.981060606060606,"Epithelial",0.0151515151515152,"B_Plasma","ASSIGNED_80PCT_CONSISTENT"
"18",368,343,"T_NK",0.994169096209913,"B_Plasma",0.00291545189504373,"T_NK","ASSIGNED_80PCT_CONSISTENT"
"19",356,285,"Myeloid",0.96140350877193,"T_NK",0.0350877192982456,"Myeloid","ASSIGNED_80PCT_CONSISTENT"
"25",221,148,"Epithelial",0.75,"T_NK",0.209459459459459,"Unresolved_review","UNRESOLVED_CLUSTER_REVIEW"
"0",4163,4108,"T_NK",0.997809152872444,"B_Plasma",0.00170399221032132,"T_NK","ASSIGNED_80PCT_CONSISTENT"
"17",370,368,"B_Plasma",1,NA,0,"B_Plasma","ASSIGNED_80PCT_CONSISTENT"
"3",3102,2877,"Fibroblast",0.930830726451164,"T_NK",0.0649982620785541,"Fibroblast","ASSIGNED_80PCT_CONSISTENT"
"6",1673,1672,"T_NK",1,NA,0,"T_NK","ASSIGNED_80PCT_CONSISTENT"
"31",71,41,"T_NK",0.853658536585366,"B_Plasma",0.146341463414634,"T_NK","ASSIGNED_80PCT_CONSISTENT"
"2",3176,3175,"T_NK",1,NA,0,"T_NK","ASSIGNED_80PCT_CONSISTENT"
"28",174,84,"T_NK",0.892857142857143,"Epithelial",0.0952380952380952,"T_NK","ASSIGNED_80PCT_CONSISTENT"
"7",1519,1492,"Myeloid",0.981903485254692,"T_NK",0.0180965147453083,"Myeloid","ASSIGNED_80PCT_CONSISTENT"
"23",264,264,"T_NK",1,NA,0,"T_NK","ASSIGNED_80PCT_CONSISTENT"
"5",1969,1639,"T_NK",0.893837705918243,"Epithelial",0.104942037827944,"T_NK","ASSIGNED_80PCT_CONSISTENT"
"26",201,201,"T_NK",1,NA,0,"T_NK","ASSIGNED_80PCT_CONSISTENT"
"12",689,689,"Myeloid",1,NA,0,"Myeloid","ASSIGNED_80PCT_CONSISTENT"
"30",77,34,"T_NK",0.941176470588235,"B_Plasma",0.0588235294117647,"T_NK","ASSIGNED_80PCT_CONSISTENT"
"16",388,335,"B_Plasma",0.988059701492537,"T_NK",0.0119402985074627,"B_Plasma","ASSIGNED_80PCT_CONSISTENT"
"21",283,283,"T_NK",1,NA,0,"T_NK","ASSIGNED_80PCT_CONSISTENT"
"27",179,179,"Epithelial",1,NA,0,"Epithelial","ASSIGNED_80PCT_CONSISTENT"
"20",348,348,"T_NK",1,NA,0,"T_NK","ASSIGNED_80PCT_CONSISTENT"
"9",972,972,"Epithelial",1,NA,0,"Epithelial","ASSIGNED_80PCT_CONSISTENT"
