dataset_id,patient_id,final_cluster,n_cells,n_dual_support,n_copykat_only,n_infercnv_only,n_neither_or_not_evaluable,fraction_dual_support,fraction_copykat_only,fraction_infercnv_only,fraction_neither_or_not_evaluable,median_library_size,median_nFeature_RNA,median_percent_mt,median_epithelial_score,cnv_discordance_class,dual_method_fraction,copykat_only_fraction,infercnv_only_fraction,neither_fraction,median_nCount,median_nFeature
"GSE154600","T59","Epithelial__A_uncorrected__3",751,373,264,20,94,0.496671105193076,0.351531291611185,0.0266311584553928,0.125166444740346,3510,1689,4.25493391272859,2.46421933190223,"METHOD_DISCORDANT",0.496671105193076,0.351531291611185,0.0266311584553928,0.125166444740346,3510,1689
"GSE154600","T59","Epithelial__A_uncorrected__2",761,51,182,27,501,0.0670170827858081,0.23915900131406,0.0354796320630749,0.658344283837057,915,598,1.90735694822888,2.39988415983655,"LOW_CNV_OR_DIPLOID_LIKE",0.0670170827858081,0.23915900131406,0.0354796320630749,0.658344283837057,915,598
"GSE154600","T59","Epithelial__A_uncorrected__9",1,0,0,0,1,0,0,0,1,1545,850,5.24271844660194,1.31755993035905,"INSUFFICIENT_CELLS",0,0,0,1,1545,850
"GSE154600","T76","Epithelial__A_uncorrected__9",125,28,30,22,45,0.224,0.24,0.176,0.36,2048,980,4.0251572327044,1.41985181025299,"METHOD_DISCORDANT",0.224,0.24,0.176,0.36,2048,980
"GSE154600","T77","Epithelial__A_uncorrected__4",447,10,245,15,177,0.0223713646532438,0.548098434004474,0.0335570469798658,0.395973154362416,2584,1034,2.93515358361775,0.989939988250578,"COPYKAT_DOMINANT",0.0223713646532438,0.548098434004474,0.0335570469798658,0.395973154362416,2584,1034
"GSE154600","T77","Epithelial__A_uncorrected__5",320,14,166,9,131,0.04375,0.51875,0.028125,0.409375,2525,1077,2.3422632620242,1.00357587983381,"COPYKAT_DOMINANT",0.04375,0.51875,0.028125,0.409375,2525,1077
"GSE154600","T77","Epithelial__A_uncorrected__6",230,14,99,13,104,0.0608695652173913,0.430434782608696,0.0565217391304348,0.452173913043478,2048.5,941.5,2.58295972436075,0.885631371632174,"METHOD_DISCORDANT",0.0608695652173913,0.430434782608696,0.0565217391304348,0.452173913043478,2048.5,941.5
"GSE154600","T77","Epithelial__A_uncorrected__7",177,33,29,34,81,0.186440677966102,0.163841807909605,0.192090395480226,0.457627118644068,1974,956,4.79616306954437,0.668578310905084,"METHOD_DISCORDANT",0.186440677966102,0.163841807909605,0.192090395480226,0.457627118644068,1974,956
"GSE154600","T77","Epithelial__A_uncorrected__9",1,0,0,0,1,0,0,0,1,4387,1670,2.05151584226123,0.296919849717705,"INSUFFICIENT_CELLS",0,0,0,1,4387,1670
"GSE154600","T89","Epithelial__A_uncorrected__8",179,20,24,37,98,0.111731843575419,0.134078212290503,0.206703910614525,0.547486033519553,1233,556,1.3531799729364,1.28248332308061,"LOW_CNV_OR_DIPLOID_LIKE",0.111731843575419,0.134078212290503,0.206703910614525,0.547486033519553,1233,556
"GSE154600","T89","Epithelial__A_uncorrected__1",2,0,0,1,1,0,0,0.5,0.5,603,307,4.37985376648072,0.509275104536996,"INSUFFICIENT_CELLS",0,0,0.5,0.5,603,307
"GSE154600","T90","Epithelial__A_uncorrected__1",970,112,130,57,671,0.115463917525773,0.134020618556701,0.0587628865979381,0.691752577319588,1159,673,1.64089765230989,2.0098165553267,"LOW_CNV_OR_DIPLOID_LIKE",0.115463917525773,0.134020618556701,0.0587628865979381,0.691752577319588,1159,673
"GSE154600","T90","Epithelial__A_uncorrected__7",2,1,0,1,0,0.5,0,0.5,0,1642,1051,4.6133137404295,1.33992935023445,"INSUFFICIENT_CELLS",0.5,0,0.5,0,1642,1051
"GSE154600","T90","Epithelial__A_uncorrected__9",3,0,0,0,3,0,0,0,1,1758,910,9.03954802259887,1.05913280099392,"INSUFFICIENT_CELLS",0,0,0,1,1758,910
